Address,Area,Longitude,Latitude,Living area (m2),Rooms,Floor,Rent,Sold date,Listed price,Sold for (SEK),LongitudeXLatitude
Kransbindarvägen 14,Midsommarkransen,18.00263,59.30222,47,2,3,2656,2017-10-27,2495000,3125000,1067.5959248386
Torsgatan 39,Vasastan,18.03833,59.3403,63,2.5,4,1798,2017-10-27,5650000,5900000,1070.399913699
Hägerstensvägen 150,Hägersten,17.99652,59.30554,53,2,3,2917,2017-10-27,2995000,2995000,1067.2933367208
Bränningevägen 1,Årsta,18.05007778,59.2980453,85,4,1,4498,2017-10-27,4750000,4475000,1070.33432986696
Skagersvägen 26,Årsta,18.0664245,59.29739343,94,4,4,5402,2017-10-27,5975000,6275000,1071.29188144989
Doktor Widerströms gata 78,Fruängen,17.95845,59.28718,59,2,2,3414,2017-10-27,2295000,2410000,1064.705857671
Riksbyvägen 10,Riksby,17.94602,59.33937,51,2,3,2638,2017-10-27,2495000,2710000,1064.9055208074
Krakel Spektakels gata 1,Bromma,17.9503,59.3654,81,3,3,4036,2017-10-27,3695000,3750000,1065.62673962
Bergsmarksvägen 8,Essingeöarna,17.9841,59.3198,67,3,2,3147,2017-10-27,4995000,5200000,1066.81321518
Ekshäradsgatan 83,Farsta,18.09224125,59.23662084,59.5,2,3,3342,2017-10-27,1995000,2425000,1071.72323507206
Essinge Brogata 22,Kungsholmen,18.00424723,59.3250887,24,1,2,1693,2017-10-27,1955000,2100000,1068.10356389648
Polhemsgatan 18,Kungsholmen,18.03618969,59.32935908,45,2,1,2785,2017-10-27,3595000,3875000,1070.075574553
Messeniusgatan 6,Kungsholmen,17.99982,59.33059,31,2,4,2059,2017-10-27,2650000,2650000,1067.9399404938
Tellusborgsvägen 90,Midsommarkransen,18.00199986,59.29879028,30,1,6,1670,2017-10-27,2195000,2750000,1067.49681431873
Eriksdalsgatan 26,Södermalm,18.06599736,59.30644728,33.5,2,2,2077,2017-10-27,2795000,3350000,1071.43011999146
Barrstigen 22,Bromma,17.95991063,59.33689937,56,2,3,2007,2017-10-27,2695000,2860000,1065.6854097465
Responsgatan 5,Telefonplan,18.00300837,59.2976728,63,2,3,2775,2017-10-26,3495000,3495000,1067.53649973992
Hövdingagatan 3A,Hägersten,17.99681783,59.30666086,56,3,3,3372,2017-10-26,3450000,3760000,1067.33117160301
Anders Reimers väg 2,Reimersholme,18.02554763,59.3186932,61,2,2,3703,2017-10-26,4895000,4800000,1069.25192962596
Helsingörsgatan 26,Rinkeby-Kista,17.94052252,59.40075864,77,3,1,3938,2017-10-26,2095000,2385000,1065.680648086
Ruddammsvägen 11,Norra Djurgården,18.06448093,59.35069455,104.5,4,5,6374,2017-10-26,6975000,6710000,1072.13948988073
Nynäsvägen 331,Enskede,18.09073597,59.28379254,92,4,0.5,4936,2017-10-26,4450000,4850000,1072.4874381414
Getfotsvägen 11,Farsta stadsdelsområde,18.07780436,59.26592414,56,1.5,0,3340,2017-10-26,1995000,2400000,1071.39778181752
Högalidsgatan 11A,Södermalm Hornstull,18.03357039,59.31780188,30,1,1,1330,2017-10-26,2550000,3025000,1069.71175558305
Artemisgatan 51,Hjorthagen,18.09788992,59.35649459,47,2,2,2761,2017-10-26,2895000,3650000,1074.2273051269
Langelandsgatan 8,Kista,17.94466059,59.40019702,81.5,3,1,3862,2017-10-26,1995000,2220000,1065.91637450303
Per Lindeströms väg 112,Hammarbyhöjden,18.10489959,59.29577405,56,2,2,3190,2017-10-26,3150000,3600000,1073.54403528658
